Agency,boro_cd,Days to Close
HPD,101,16.039778623313733
HPD,102,11.74188733125649
HPD,103,11.50051792599413
HPD,104,12.116298880415382
HPD,105,10.848132574820678
HPD,106,10.576254011146766
HPD,107,13.64873180249137
HPD,108,11.30903240995056
HPD,109,12.035850770580128
HPD,110,14.013708387651699
HPD,111,10.634706525701786
HPD,112,15.440972993557805
HPD,164,1.0
HPD,201,16.211691317033907
HPD,202,16.88824246116357
HPD,203,16.454876635204503
HPD,204,14.352233230877463
HPD,205,13.407493066001235
HPD,206,13.06217416787488
HPD,207,13.936842959409994
HPD,208,11.876385098094104
HPD,209,12.150245985601547
HPD,210,14.339139784946237
HPD,211,11.827368760212654
HPD,212,14.570847288324813
HPD,227,2.0
HPD,301,11.068235087308098
HPD,302,10.962984571502657
HPD,303,10.936137024927257
HPD,304,11.668136281796778
HPD,305,11.288181951386289
HPD,306,10.060760540093689
HPD,307,9.821893640258759
HPD,308,10.220546135212508
HPD,309,9.321519135775326
HPD,310,7.481660114294979
HPD,311,9.080061438033983
HPD,312,10.002449779519843
HPD,313,10.44578972986128
HPD,314,9.427552870090635
HPD,315,8.324517746212809
HPD,316,11.370491898484232
HPD,317,9.868358641774101
HPD,318,10.950483419174121
HPD,355,1.7142857142857142
HPD,401,16.383336467933045
HPD,402,12.763563845386827
HPD,403,12.535569342725195
HPD,404,10.711641827510384
HPD,405,13.390862038193825
HPD,406,12.241552023507413
HPD,407,13.727899259763465
HPD,408,14.879010145324925
HPD,409,14.15108749050958
HPD,410,12.142009090065857
HPD,411,13.63627841574877
HPD,412,12.81630740393627
HPD,413,15.69012926847493
HPD,414,19.128664838641637
HPD,480,33.0
HPD,481,5.666666666666667
HPD,501,22.14447018895017
HPD,502,18.80811741257474
HPD,503,20.742984162267298
HPD,595,0.0
